City,Latitude,Temperature,Longitude,Humidity,Cloudiness,Wind Speed
Kismayo,-0.3582,77.59,42.5454,83,88,15.93
Abomsa,9.9833,61.41,39.9833,73,99,5.66
Palmer,42.1584,21.2,-72.3287,42,40,4.61
Elmadağ,39.9208,51.8,33.2308,53,75,16.11
Belmonte,-15.8631,73.4,-38.8828,88,75,3.44
Kitsuki,33.4167,39.2,131.6167,56,75,4.61
Kilindoni,-7.9139,82.09,39.6668,82,100,16.98
Kibala,9.1104,71.6,18.3463,33,0,3.67
Luorong,24.4058,54.91,109.6086,77,100,10.96
Bouza,14.4229,67.15,6.0428,19,28,9.73
Goulburn,-34.75,66.0,149.7167,76,85,7.9
Gisborne,-38.6533,78.01,178.0042,51,100,1.99
Visby,57.6409,25.0,18.296,80,90,8.05
Paita,-5.0892,80.6,-81.1144,61,0,18.41
Maneromango,-7.1988,70.74,38.7848,96,100,7.54
Shumyachi,53.8583,9.23,32.4242,90,100,13.62
Valdosta,30.8327,64.4,-83.2785,68,75,6.24
Muli,2.9167,82.18,73.5667,75,62,21.03
Mâncio Lima,-7.6142,77.0,-72.8958,100,90,2.71
Garissa,-0.4536,77.13,39.6401,70,82,8.52
Keffi,8.8486,78.8,7.8736,41,61,5.75
Nacala,-14.5428,78.71,40.6728,86,64,5.79
Ulaanbaatar,47.9077,-9.4,106.8832,77,2,2.24
Manaus,-3.1019,80.6,-60.025,83,20,2.3
Mulegé,26.8833,71.73,-111.9833,34,0,5.21
Brigantine,39.4101,28.99,-74.3646,59,1,5.75
Ashquelon,31.6693,61.0,34.5715,45,99,9.26
Sinnamary,5.3833,77.72,-52.95,79,52,14.32
Khani,41.9563,51.8,42.9566,66,0,5.75
Deputatsky,69.3,-20.22,139.9,87,3,3.96
Opuwo,-18.0607,67.14,13.84,54,100,3.47
Lakes Entrance,-37.8811,68.0,147.981,63,2,1.99
Cap Malheureux,-19.9842,75.99,57.6142,83,2,3.0
Māngrol,21.1167,66.88,70.1167,44,14,9.73
Walvis Bay,-22.9575,66.0,14.5053,77,31,6.91
Tanout,14.9709,64.67,8.8879,22,4,11.52
Amherst,41.3978,23.0,-82.2224,53,90,6.91
Karasjok,69.4719,17.6,25.5112,79,75,4.83
Cervo,43.6702,51.01,-7.4101,85,100,3.0
Namatanai,-3.6667,85.37,152.4333,71,75,6.53
Umm Kaddadah,13.6017,61.84,26.6876,31,71,13.96
Dhidhdhoo,6.8833,80.91,73.1,67,51,4.34
Shambu,9.5667,49.86,37.1,48,21,1.05
Lüderitz,-26.6481,70.9,15.1594,54,0,18.81
Savyntsi,49.4026,19.89,37.0627,95,100,21.0
Kirensk,57.7853,13.3,108.1119,95,67,3.0
Fes,34.0372,55.4,-4.9998,94,75,16.11
Amapá,1.0,73.13,-52.0,97,98,4.16
Hamilton,39.1834,34.0,-84.5333,47,90,9.22
Uvinza,-5.1036,68.22,30.3911,84,100,0.87
Rio Grande,-32.035,69.01,-52.0986,89,83,11.43
Nyimba,-14.5566,69.94,30.8149,95,100,3.6
Kieta,-6.2167,84.74,155.6333,75,83,10.45
Hastings,50.8552,28.99,0.5729,78,78,5.01
Marsh Harbour,26.5412,75.31,-77.0636,85,8,8.9
Shitanjing,39.2342,25.59,106.3439,75,0,0.89
Cayenne,4.9333,78.8,-52.3333,73,40,8.05
Katangli,51.7102,6.1,143.2326,94,100,13.73
Agirish,61.9247,-16.74,63.0231,88,100,7.05
Alta Floresta,-9.8756,80.6,-56.0861,89,40,3.44
Roebourne,-20.7833,81.64,117.1333,64,20,13.44
Najrān,17.4924,53.6,44.1277,94,75,6.91
Lensk,60.7253,18.72,114.9278,95,100,7.11
Rome,43.2128,19.4,-75.4557,45,1,1.7
Cidreira,-30.1811,73.2,-50.2056,76,0,12.77
Mazagão,-0.115,78.8,-51.2894,94,90,8.05
Tuy Hoa,13.0833,71.71,109.3,88,56,5.57
Clyde River,70.4692,6.8,-68.5914,92,1,27.63
Nayoro,44.3506,17.6,142.4578,86,75,3.44
Sechura,-5.5569,79.84,-80.8222,59,48,14.54
Vanimo,-2.6741,81.48,141.3028,80,100,1.54
Ţahţā,26.7693,59.0,31.5021,51,0,4.61
Saint-Paul,-21.0096,73.0,55.2707,91,37,3.0
Fortuna,40.5982,51.01,-124.1573,87,1,8.05
Mombasa,-4.0547,78.8,39.6636,94,90,8.52
Belaya Gora,68.5333,-13.07,146.4167,88,98,3.11
Rēzekne,56.5,9.52,27.3167,95,100,10.6
Chabahar,25.2919,67.77,60.643,71,100,8.84
Chelno-Vershiny,54.4333,-18.83,51.1,88,48,8.23
Sept-Îles,50.2001,19.99,-66.3821,73,75,9.22
Mount Gambier,-37.8333,62.6,140.7667,59,0,17.27
Baiyin,36.5583,12.2,104.2081,44,0,6.71
Yokadouma,3.5167,68.59,15.05,32,59,1.45
Paraná,-31.732,78.01,-60.5238,79,97,5.99
Khon Buri,14.5254,71.6,102.2459,100,40,3.44
Mackay,-21.15,82.4,149.2,83,75,12.66
Xinqing,48.2333,-8.91,129.5,89,89,5.91
Pudem,58.3044,-17.32,52.1675,87,96,9.31
Salaga,8.5508,84.07,-0.5188,27,1,5.91
Kungurtug,50.5994,12.74,97.5228,85,93,3.02
Beira,-19.8436,79.32,34.8389,86,32,6.78
Zaraza,9.3503,77.04,-65.3245,73,50,9.51
Watsa,3.0372,63.77,29.5355,37,97,2.24
Santa Cruz de la Sierra,-17.8,86.0,-63.1667,58,75,8.05
Mpika,-11.8343,63.9,31.4529,95,100,2.98
Enshi,30.3,46.29,109.4833,84,100,0.63
Monoharpur,22.1083,56.68,88.0789,39,0,4.97
Kurunegala,7.4863,75.2,80.3623,78,0,12.66
Vila,42.0304,44.01,-8.1588,94,100,10.0
Sohag,26.557,59.0,31.6948,51,0,4.61
Turukhansk,65.8167,-3.21,87.9833,89,44,10.87
